CDS,CDS original script,PoS,ADS,English,Country,Language branch,Group of languages,Language,Area,Source,Year,Comments,Examples,Semantic Domain
kxxa,,interj,"(ammaṣṣax?) 'dirty', amɛaffin 'bad smell', sayyeb =laisse'leave', waggef 'stop!', šin 'it's bad', muš smeḥ 'not nice', muš ṭayeb 'not tasty'","stop, leave, dirty, it will hurt you, it is bad",Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,,"warning, negative"
kxxa,,"adj, n, v","iẓ̌ẓ̌a ‘dirty, ugly’;
 lexra ‘shit’; (ṯ)axerriṭ ‘piece of shit’; amqquz ‘shit that has the shape of a tower’",dirty; shit; stop doing it!,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,,,"warning, negative, action"
lalaɛ,,n,"ḓar, PL iḓaren","leg(s), foot/feet",Morocco,Amazigh (Berber),,Tarifiyt,Ayt Said,,2014,,,"body, body part"
lalaḥ,,n,"ḓar, PL iḓaren","leg(s), foot/feet",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,,,"body, body part"
"lalaḥ, lalaɛ",,n,"ḓar, PL iḓaren","leg(s), foot/feet",Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,,,"body, body part"
lalla,,n,,aunt (paternal + maternal),Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,,,,kinship
lalla,,n,aṛṛoẓ 'rice',"rice, pasta",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,food
lalla,,n,aṛṛoẓ 'rice',"rice, pasta",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,food
lallaḥ,,n,"aḓar, PL iḓaren","leg(s), foot/feet",Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2025,"Maryam also gives these forms: a-lallaḥ-t, PL i-lallaḥ-in. Cf. lallaš",,"body, body part"
lallaš,,n,"aḓar, PL iḓaren","leg(s), foot/feet",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","A song to encourage the child to walk: daa-ddaš la-llaš se-ṣaḥḥa i lɛayeš
 'hand, foot, with-health and life' (Aghzout). Cf. Maryam: daa-ddaš la-llaš saḥla lamnɛaš ‘Hand/foot (start walking), it will be easy in the future’.",,"body, body part"
lallaš,,n,,"leg(s), foot/feet",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,With -š,,"body, body part"
lallaš,,n,,"leg(s), foot/feet",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,,,"body, body part"
lbuɛɛua,,n,,everything dangerous which should be avoided and that makes afraid; watch out,Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,"warning, negative, fear"
lekker puh,,interj,no equivalent,no equivalent,Netherlands,Germanic,,Dutch,,,2024,When one child gets/achieves something and wants to show of a bit to another child that s/he has gotten it or achieved something,,actions
leḵri,,n,"? (~ cadeau, smth nice)","nice, tasty, etc. object; present (cadeau)",Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,,awru a daḵ wešex leḵri 'come (so that) I will give you (MSG) a present/smth nice/tasty',object
leḵri,,n,"? (~ cadeau, smth nice)","nice, tasty, etc. object; present (cadeau)",Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,,awru a daḵ wešex leḵri 'come (so that) I will give you (MSG) a present/smth nice/tasty',"object, food, quality, positive"
"lella, ṃṃwi lella",,n,lalla (BT = adult),grandmother,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,(BT = adult),,"humans, kinship"
lellu,,n,,"light, object that produces light (moon, star), shiny object, lamp, lantern...",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,"world, obkect"
lellu,,n,,"light, object that produces light (moon, star), shiny object, lamp, lantern...",Algeria,Amazigh (Berber),,Tashawit,,,2024,,,"world, obkect"
liegbeest,,n,leugenaar,liar,Netherlands,Germanic,,Dutch,,,2024,"Liegen is a verb, which means to lie. Beest is a noun, which means animal. So literal translation is lying animal.","Dat heb je wel gedaan, liegbeest!",conversation
lillu,,n,,money,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"Maybe from alelluš ‘toy’, ‘little unimportant object’. Not used in At Zmenzer. Does the BT derive from adult speech or vice versa? There are some words with the root LL. In Taɛemmušt dialect, talellešt is ‘rose’. The word for a flower could evolve to mean ‘something beautiful’, ‘toy’ (from a natural thing to a man-made object).",,"object, world"
lillu,,n,,money,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"Maybe from alelluš ‘toy’, ‘little unimportant object’. Not used in At Zmenzer. Does the BT derive from adult speech or vice versa? There are some words with the root LL. In Taɛemmušt dialect, talellešt is ‘rose’. The word for a flower could evolve to mean ‘something beautiful’, ‘toy’ (from a natural thing to a man-made object).",,"object, world"
lillu,,n,,fire,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"quality, warning"
"lollo, lullu",,"n, adj",,"toy, any new nice object",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,Cf. Berber ninu.,,"game, object, quality"
lolo,λολό,n,νερό,water,Greece,Greek,,Greek,,,2024,,,
lullu,,n,"(ṯ)anwarṯ, PL nnuwwar/ nnwar ‘flower’; luɛba, aqežqul (SG, rare, more often used in PL) > žqaqel ‘toys’ (always PL; anything you can play with); munika (PL munikaṯ) 'doll'; ttrimbu (always SG) 'top'","nice small beautiful object; toy(s), doll, top, etc.",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025",Widespread,,"object, quality, positive"
lullu,,n,,"any nice object, toy",Libya,Amazigh (Berber),,Awjila,Awjila,,2013,Cf. (adult) Kabyle alelluš (PL ilellaš) 'toy'.,,"objects, toys"
lullu,,n,,"any nice object, toy",Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Bgayet),,1998,"There is also alelluš (used in adult speech) 'little object, toy'.",,"quality, object, world, positive, toy"
lullu,,n,,"any nice object, toy",Algeria,Amazigh (Berber),,Kabyle,Béjaïa,,1998,"There is also alelluš (used in adult speech) 'little object, toy'.",,"quality, object, world, positive, toy"
lullu,لولّو,n,,toy,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
lullu,,n,,"any nice object, toy",Libya,Amazigh (Berber),,Zwara,,,2014,,,
lullu,,"n, adj",,new shining object,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"object, world, positive, quality"
lullu,,n,,toy,Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
lullu,,"n, adj","leɛḇa(ṯ) 'toy(s)', iqšuɛen (always PL); munika 'doll', PL imunikaṯen; ttrimbu 'top'; ṯanwa(r)ṯ ‘flower’, PL nnwa(r)","nice beautiful object; small nice object; toy(s), doll, top, etc.",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,,,"object, world, positive, quality"
"lullu, talullut",,n,"teddy-bear, soft toy': nunnus;","nice object, toy, etc.",Morocco,Amazigh (Berber),,Tashelhit,Taznaxt,,2015,"lullu: general, coll., talullut: one unit, a small nice object; PL: maybe id lullu?",,"object, positive, world, toy, game"
"lullu, ṯlullušt",,n,"leɛḇa(ṯ) 'toy(s)', munika 'doll'; ttrimbu 'top'; ṯanwa(r)ṯ ‘flower’, PL nnwa(r)",nice small beautiful object,Morocco,Amazigh (Berber),,Tarifiyt,Ayt Said,,2014,"ṯlullušt (Ayt Said, not used in Midar/Ayt Tuzin) 'flower, anything nice': used when the object is far or when it is identified; lullu 'any (nice) object', used when you give the object to the baby.",,"object, world, positive, quality"
lulluš,,n,"leɛḇa(ṯ) 'toy(s)'; munika 'doll', PL muniku(ṯ); ttrimbu 'top'; ṯanwwa(r)ṯ ‘flower’, PL ṯanewwašṯ or (coll.) nnwa(r) or nnwaš","nice object, usually toy(s)",Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,,,"object, world, positive, quality"
lyalya,ляля,n,,baby or doll,Russia,Slavic,,Russian,,,2024,,,
m'ɛa,,n,l-maɛza,"goat , sheep",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,animals
"m7'aḥḥ, mm7'aḥa",,n,atey,tea (and all sweet drinks),Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,Cf. Berber maḥḥa,,"food, drink"
ma,,n,,mother,Spain,Romance,,Spanish,"Spain, Navarra",,2024,,,
mač- mač,mač- mač,v,no equivalent (to kiss),to kiss,Azerbaijan,Turkic,,Azerbaijani ,,,2024,onomatopoeic,,
maɛ,,n,,goat/sheep and their sound,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,animals
maɛɛ,,n,"ṯġaṭ (F), iġḏ (M) or iġiyḏ (Iqeraiyen)","goat, sheep",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,,,animals
maɛɛa,,n,(ṯ)aġaṭṭ 'goat',"goat, sheep",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2014, 2025","In Ketama, ibeɛɛšen is used among adults. In the Riff, ibeɛɛšen is used between the age of 5 to 13 (children talk); small children say baɛɛ; adults say aḥuři/išarri.",,animals
maɛɛa,,n,"hawli 'sheep' (M), naža (F); meɛza 'goat', PL meɛz, PL.F meɛzat,
 DIM meɛyza, PL
 meɛyzat","goat, sheep",Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Tetouane",,2014,Onomatopoeia. Animal and the sound that the animal makes. Not used in Rashidia (Ayt Merghad).,,animals
maɛɛa,,n,,goat,Morocco,Semitic,Arabic,Arabic (Moroccan),Tetouane/Ceuta,,2024,sound of the goat > goat,,animals
maɛɛa,,n,,"goat, sheep",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,"As a sound, usually without š",,animals
maɛɛa,,n,taġat,goat,Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
"maɛɛa, baɛɛa",,n,"meɛza 'goat', PL meɛz, PL.F meɛzat, DIM meɛyza, PL meɛyzat",goat,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Tetouane",,2014,same as sheep,,animals
maɛɛa(š),,n,,"goat, sheep",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,,,animals
maɛɛa(š),,n,,"goat, sheep",Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,animals
maḥa,,"n, v",busa (n),kiss (to kiss),Morocco,Amazigh (Berber),,Tashelhit,Ouarzazate,,2014,ɛateni maḥa or just maḥa,,"body, bodily function, action"
"maḥaš, maḥḥaš",,"n, v",?,kiss (to kiss),Morocco,Amazigh (Berber),,Tamazight,Tinejdad/Goulmima,,2014,,,"body, bodily function, action"
maḥḥ,,"n, v",bus(s?),kiss (to kiss),Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,According to Abdellah: mḥaš,,"body, bodily function, action"
maḥḥ,,"n, v",,kiss (to kiss),Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,,,"body, bodily function, action"
maḥḥ,,"n, v",,kiss (to kiss),Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,,,action
maḥḥa,,"n, v",maḥḥa,kiss (to kiss),Morocco,Amazigh (Berber),,Tamazight,"Rashidia, Ayt Merghad",,2014,BT = adult speech,,"body, bodily function, action"
maḥḥa,,"n, v",taqemmunt,kiss,Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,,,"body, bodily function, action"
"maḥḥa, mmaḥ",,"n, v","(ṯ)amḥḥišṯ (< ṯamḥḥiyṯ? not used; rarely -št) /(ṯ)abḥḥišṯ (not a commonly used/ “proper” word, not used with parents); (ṯ)amaḥḥat, (ṯ)abaḥḥat",kiss,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,b/m substitution/alternation (both in BT and adult speech). Maryam (Bni Hmed) uses only baḥḥa. ,wway (<ggay)ṃaḥḥa 'give me a kiss',"body, bodily function, action"
makmak,mac-mac,n,Raţa,duck,Romania,Romance,,Romanian,,,2024,,,animal
mam,μαμ,"v, n",φαγητό,eat/food,Greece,Greek,,Greek,,,2024,command to 'stop' to a donkey + a donkey,,
"ṃaṃ, mam",,n,,"food, eat(ing)",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Woidich 2006,2006; 2015,German: hamham. Cf. also ham(m) 'eat'.,ham(m) el-mam 'eat food',food
"ṃaṃ, mam",,n,,"food, eat(ing)",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Woidich 2006,2006; 2015,German: hamham. Cf. also ham(m) 'eat'.,ham(m) el-mam 'eat food',food
mama,,n,,mother,Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Širbini 1665,1665; 2015,"Also used in modern Eg. Arabic. (Often by low/middle class, vs. lowest class: ummi; highest class: French maman, mère).",,kinship
mama,,n,,mother,Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Širbini 1665,1665; 2015,"Also used in modern Eg. Arabic. (Often by low/middle class, vs. lowest class: ummi; highest class: French maman, mère).",,kinship
mama,,n,,"water, to drink",Algeria,Amazigh (Berber),,Tashawit,"Ayt Busliman (Chennawra), Ayt Sellem",,2024,,,
mama,,n,"ummi, mama",mother,Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,,"humans, kinship"
mama,,n,,"mother, Mommy",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"humans, kinship"
māma,,n,,mother (mommy),Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,,,"humans, kinship"
"mama, mamá, mami",,n,madre,mother,Spain,Romance,,Spanish,"Spain, Galicia",,2024,,,
"mama, mamá, mami",,n,madre,mother,Spain,Romance,,Spanish,"Spain, Galicia, Navarra",,2024,,,
"mama, mamma",,n,yemek,food,Turkey,Turkic,,Turkish,İzmir/Istanbul,,2015,,???,food
"mama, mamma",,n,"ṃṃwi (BT = adult), mama",mother,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"BT = adult ṃṃa, ṃṃwi. BT mama.",,"humans, kinship"
"mama, mamma",,n,"yemma, ṃṃa",mother,Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,kinship
"mama, mamma",,n,"yemma, ṃṃa",mother,Algeria,Semitic,Arabic,Arabic (Algerian),,,2024,,,kinship
"mama, mamma",,n,"yemma, ṃṃa",mother,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,kinship
"mama, mamma",,n,"yemma, ṃṃa",mother,Algeria,Amazigh (Berber),,Tashawit,,,2024,,,kinship
maman,,n,aman,water,Algeria,Amazigh (Berber),,Kabyle,At Douala,,1998,,,"food, drink"
maman,,n,aman,water,Algeria,Amazigh (Berber),,Kabyle,At Douala,,1998,,,"food, drink"
"maman, əmbuwwa",,"n, v",aman,water,Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,maman: from adult aman,,"food, drink"
mamas,,n,yemma,mother,Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"Final -s (originally 3SG poss.pron.) ""frozen"" in BT kinship term",aqqt mamas! ‘here is (your) mother’,"humans, kinship"
"mami, mama, mamá",,n,,adressing baby-girl,Ecuador,Romance,,Spanish,Ecuador,,2024,,"Role switch, but not only used by the boy's mother",
ṃaṃṃ,,"n, v",,to eat; food (yum-yum),Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,,,"body, bodily functions, action, food"
ṃaṃṃ,,n,,food,Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
mamma,,n,imma,mother,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,,ha mamma (nneḵ/nnem)! ‘here is (your) mother!’,"humans, kinship"
mamma,,n,žida,grandmother,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,"sometimes, same as mother",,"humans, kinship"
mamma,,n,trumbiya 'spinning top' etc.,"nice object, toy, etc.",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,According to Abdellah: mumma = toy; not used in Ourzazate,,"object, positive, world, toy, game"
mamma,,n,settsi,grandmother,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Sidi Aïch) – Aṯ Uġlis,,2015,Brihmat uses yemma for 'mother' and mamma for 'grandmother'.,,
mamma,,n,,mother,Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,BT=AT,,"humans, kinship"
mamma,,n,"xeddama;
 l-mra lli tqabel drari","nanny, nurse",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,,2014,"mamma +PN (person's name), e.g. ‘mamma Khadija’ (for old nannies, older than your mother)
 or just first name",,humans
mamma,,n,,grandmother,Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,Not used for 'mother' ,,"humans, kinship"
mamma,,n,"lwalida, mmwi",mother,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Tetouane",,2014,,,"humans, kinship"
mamma,,n,yemma,mother,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,,,"humans, kinship"
mamma,,n,,mother,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,,,"humans, kinship"
mamma,,n,?,mother,Morocco,Amazigh (Berber),,Tashelhit,Tarudant,,2015,,,"humans, kinship"
mamma,,n,,mother (BT=AT),Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,,,kinship
mamma,,n,yemek,food,Turkey,Turkic,,Turkish,,,2024,,,
mamma ,,v:conj,"kul (MSG), kuli (FSG), yakel 'he eats', ukal 'food' (E. Libya)",to eat; food,Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,"mamma (MSG), mammi (FSG), mammu (MPL), mamman (FPL)",,"body, action, bodily function, food"
mamma-s,,n,immi / imma,"mother, Mommy",Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,,,"humans, kinship"
mammaḥ,,n,,"sweets, pastries",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,n. coll.,,food
mammas,,n,yemma,mother,Algeria,Amazigh (Berber),,Kabyle,"Iwaḍiyen, At Zmenzer",,"2015, 2014","Kinship; -s is originally 3SG possessive; cf. dadda-s, nanna-s, baba-s etc. Can be used by the mother to refer to herself: Tebġam ad temmet mamma-s? ‘Do you want mommy to die?’ (when kids misbehave). Can be used by older children (and even adults) esp. among siblings when speaking about their mother (with -s). Can be used without -s by adults as exclamation: A mamma! ‘My God!’ Can be used in adult speech as irony.",Atni baba-s akked mamma-s ‘Here are papa and mama’. Tuġal-d mamma-s seg tmurt? ‘Has mommy come back from the countryside?’,"humans, kinship"
mammas,,n,yemma,mother,Algeria,Amazigh (Berber),,Kabyle,"Iwaḍiyen, At Zmenzer",,"2015, 2014","Kinship; -s is originally 3SG possessive; cf. dadda-s, nanna-s, baba-s etc. Can be used by the mother to refer to herself: Tebġam ad temmet mamma-s? ‘Do you want mommy to die?’ (when kids misbehave). Can be used by older children (and even adults) esp. among siblings when speaking about their mother (with -s). Can be used without -s by adults as exclamation: A mamma! ‘My God!’ Can be used in adult speech as irony.",Atni baba-s akked mamma-s ‘Here are papa and mama’. Tuġal-d mamma-s seg tmurt? ‘Has mommy come back from the countryside?’,"humans, kinship"
"mammi, memm",,"v, n",,to eat; food,Libya,Amazigh (Berber),,Zwara,,,2014,,,
mammu,,n,tagleyt,egg,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,not used in Ourzazate,,food
mammu,,n,,baby,Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,,,humans
mammu,,n,,baby,Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,,,humans
"ṃaṃṃu, ṃaṃu",,n,agʷərzni,"dog, puppy",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,The word means 'dog' in BT and 'puppy',,animals
"ṃaṃṃu, ṃaṃu",,n,agʷərzni,"dog, puppy",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,The word means 'dog' in BT and 'puppy',,animals
mamoch calle,,n,,going out,Spain,Romance,,Spanish,,Ferguson 1964,1964,,,
mamoch calle,,n,,going out,Spain,Romance,,Spanish,,Ferguson 1964,1964,,,
mamu,,n,amamuc,mouth,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,"In the variety of Aokas, the baby-talk term is mamuca",,body
mamuni,μαμούνι,n,έντομο,insect,Greece,Greek,,Greek,,,2024,,Eat your food or else the mamuni will eat it.,
mani,,n,"žeddat-i, ḥbiba",grandmother,Algeria,Semitic,Arabic,Arabic (Algerian),"East, Center",,2024,,,kinship
mayna,,interj,,"bravo, clap",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
maεεa,,n,,"sheep, goat",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,,,animals
maεεa,,n,"tili 'sheep', PL wulli; taġaṭ 'goat', PL tiġaṭṭin","sheep, goat",Morocco,Amazigh (Berber),,Tashelhit,"Tarudant, Taznaxt",,2015,,,animals
"mbbwa, mbwwa, mbuwa, mbuvva, mbbwa, buwa",,"n, v","l-ma, DIM mmwiha; šreb (v)",water; to drink,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Fes",,2014,"mbwwa, (Marrakesh), mbuwa (Casablanca), mbuvva, mbbwa, buwa (Fes). Not used in Kabyle.","hak mbuwa 'here’s water'.
 mbuwa! (baby: 'give me water/ I want to drink'); adult:
 bġiti mbuwa? 'do you want water/do you want to drink?","bodily functions, action, food, drink"
"mbu, mbuwa",,v,,drink,,Semitic,Arabic,Arabic (common),,Ferguson 1964,1964,,,
"mbū, mbūwa",,"n, v",,water; to drink,Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,,,"food, drink, body, bodily functions"
mbuwa,,"n, v",,"water, smth to drink",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"body, action, food, drinks"
mbuwa,,"n, v",aman; ssu! (v),water; to drink,Morocco,Amazigh (Berber),,Tamazight,Ait Sadden,,2014,,,"food, drink, body, bodily function, action"
"mbuwa, mbuvva",,"n, v",,water; to drink,Libya,Amazigh (Berber),,Zwara,,,2014,,,
"mbuwa, mbuwwa, mbuvva",,"n, v","l-ma, šreb","water, to drink",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,Also in Berber.,,"body, action, food, drink"
mbvva,,"n, v",aman 'water',water; to drink,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,,,"food, drink, action,body, bodily function"
mbVVa,,"n, v",,water; to drink,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,,,"food, drink, action,body, bodily function"
"mbvva, mbuvva, mbuvva",,"n, v",aman 'water'; su! 'drink!',water; to drink,Morocco,Amazigh (Berber),,Tarifiyt,"Midar (Ayt Tuzin), Iqeraiyen",,2014-5,,,"food, drink, bodily function, action"
"mbvva, mbuwwa",,"n, v",,water; to drink,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,"Widespread in the Maghreb, shared with Berber",,"food, drink, action,body, bodily function"
